Payee Name,Agency,Zip Code,Amount,Payment Description
UNIFIRST,CENTRAL SERVICES,20785,126.93,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,HEALTH,20785,2.88,OTHER OPERATING SUPPLIES
UNIFIRST,ENVIRONMENT,20785,246.27,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,HEALTH,20785,6.1,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,HEALTH,20785,9.04,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,HEALTH,20785,4.76,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,16.67,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,5.1,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,8.16,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,CENTRAL SERVICES,20785,30.44,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,51.54,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,87.95,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,51.54,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,51.54,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,30.44,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,51.54,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,304.17,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,30.44,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,126.93,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,17.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,CENTRAL SERVICES,20785,11.22,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,-17.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,HEALTH,20785,9.04,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,CENTRAL SERVICES,20785,60.15,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,17.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,HEALTH,20785,4.76,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,HEALTH,20785,2.88,OTHER OPERATING SUPPLIES
UNIFIRST,CENTRAL SERVICES,20785,304.17,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,126.93,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,11.22,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,HEALTH,20785,4.76,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,HEALTH,20785,9.04,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,CENTRAL SERVICES,20785,352.88,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,203.59,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,290.8,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,POLICE,20785,5.1,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,16.67,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,16.67,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,8.16,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,16.67,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,5.1,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,5.1,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,120.26,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,1008.77,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,439.03,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,655.33,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,114.14,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,195.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,17.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,83.85,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,169.6,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,466.78,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,73.7,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,114.14,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,195.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,203.59,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,17.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,HEALTH,20785,2.88,OTHER OPERATING SUPPLIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,83.85,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,271.61,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,-83.85,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,-271.61,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,-434.08,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,-73.7,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,-114.14,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,-195.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,434.08,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,73.7,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,114.14,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,195.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,241.51,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,49.45,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,49.45,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,49.45,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,241.51,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,49.45,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,31.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,31.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,31.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,31.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,31.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,31.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,31.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,31.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,49.45,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,31.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,31.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,31.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,49.45,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,49.45,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,49.45,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,49.45,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,49.45,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,49.45,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,31.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,HEALTH,20785,9.04,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,HEALTH,20785,2.88,OTHER OPERATING SUPPLIES
UNIFIRST,HEALTH,20785,4.76,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,ENVIRONMENT,20785,17.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,83.85,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,271.61,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,434.08,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,73.7,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,114.14,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,195.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,327.23,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,327.88,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,245.21,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,HEALTH,20785,4.76,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,HEALTH,20785,9.04,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,ENVIRONMENT,20785,17.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,ENVIRONMENT,20785,17.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,CENTRAL SERVICES,20785,60.15,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,60.15,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,61.2,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,30.44,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,60.15,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,30.44,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,HEALTH,20785,4.76,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,HEALTH,20785,2.88,OTHER OPERATING SUPPLIES
UNIFIRST,HEALTH,20785,2.88,OTHER OPERATING SUPPLIES
UNIFIRST,HEALTH,20785,9.04,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,CENTRAL SERVICES,20785,315.48,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,60.15,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,66.44,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,30.44,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,11.22,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,126.93,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,245.21,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,241.51,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,208.59,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,11.22,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,155.64,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,126.93,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,43.91,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,38.21,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,81.31,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,38.21,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,38.21,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,38.21,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,38.21,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,38.21,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,38.21,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,38.21,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,38.21,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,83.85,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,169.6,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,425.33,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,38.21,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,38.21,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,73.7,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,114.14,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,195.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,203.59,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,75.66,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,75.66,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,75.66,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,75.66,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,75.66,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,75.66,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,75.66,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,75.66,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,75.66,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,2148.18,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,287.86,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,315.48,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,17.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,ENVIRONMENT,20785,17.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,ENVIRONMENT,20785,17.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,HEALTH,20785,9.04,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,23.45,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,5.1,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,5.1,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,16.67,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,8.16,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,2.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,2.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,2.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,CENTRAL SERVICES,20785,5.52,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,5.52,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,5.52,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,5.52,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,5.52,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,POLICE,20785,16.67,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,CENTRAL SERVICES,20785,5.52,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,5.52,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,5.52,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,5.52,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,5.52,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,5.52,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,5.52,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,5.52,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,POLICE,20785,5.1,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,11.9,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,11.9,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,POLICE,20785,11.9,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,HEALTH,20785,-9.04,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,HEALTH,20785,9.04,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,CENTRAL SERVICES,20785,344.19,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,11.22,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,11.22,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,179.64,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,132.54,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,-5.52,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,203.59,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,203.59,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,17.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,83.85,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,169.6,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,425.33,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,73.7,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,114.14,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,195.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,83.85,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,169.6,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,425.33,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,73.7,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,141.12,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,221.25,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,83.85,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,169.6,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,425.33,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,73.7,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,114.14,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,195.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,38.21,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,255.81,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,17.31,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,CENTRAL SERVICES,20785,11.22,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,173.49,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,246.51,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,11.22,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,83.85,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,169.6,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,425.33,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,73.7,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,114.14,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,217.55,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,75.66,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,87.41,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,87.21,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,90.61,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,HEALTH,20785,4.76,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,HEALTH,20785,9.04,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,HEALTH,20785,4.76,OTHER OPERATING CONTRACT SERVICES
UNIFIRST,HEALTH,20785,2.88,OTHER OPERATING SUPPLIES
